student_id,name,gender,age,class,teacher_id,subject,test1_score,test2_score,final_exam_score
1,Carson Rivera,Female,14,9th,105,Math,23.5,40.5,50.5
2,Ashley Walters,Male,15,10th,107,Computer,77.7,80.6,82.3
3,Linda Robinson,Male,15,10th,103,English,75,73.4,64.5
4,Brandon James,Female,17,11th,117,Computer,46.7,53.1,51.2
5,Helen Grant,Female,16,10th,112,Science,38,57.3,47.6
6,Amy Marshall,Male,15,9th,111,Art,93,83.6,83.1
7,Michelle Watkins,Female,16,10th,109,Math,40.9,51.7,59.1
8,Sandra Mitchell,Female,15,10th,110,History,61.7,63.7,76.5
9,Sara Alvarez,Male,16,11th,105,Art,85.4,78.5,77.3
10,Matthew Robertson,Male,14,9th,109,History,44.8,55.3,60.8
11,Wyatt Collins,Male,16,11th,108,English,61.6,89.2,84.9
12,Walter Phillips,Female,15,10th,105,English,44.9,53,50.3
13,Elizabeth Gonzalez,Male,15,9th,110,History,56.8,61.4,55.2
14,William Vasquez,Male,17,12th,104,Computer,69.2,80.8,88.3
15,Anthony Porter,Male,15,9th,113,English,88.1,72.9,69.3
16,Gary Morgan,Female,17,12th,109,Art,49.4,69.5,57
17,Eric Ortiz,Male,17,11th,120,English,73,74.2,73.8
18,Madison Douglas,Male,15,10th,112,Science,49.6,39.8,51.7
19,Bella Moreno,Female,15,9th,109,English,32.8,37.7,37.2
20,Linda Gibson,Female,16,10th,106,Math,52.9,49.7,43.2
21,Amber Lamb,Female,17,11th,113,Math,37.9,51.4,49.7
22,Jeffrey Shaw,Female,17,12th,106,Science,52.2,57.7,43
23,Avery Green,Female,16,11th,113,Computer,52.9,61.5,62.9
24,Sara Murphy,Female,16,10th,119,Math,65.9,74,76.1
25,Christina Moreno,Female,16,10th,115,English,58.1,66.5,54.1
26,Gary Harper,Male,18,12th,116,Art,86.9,86.9,88.3
27,Megan Santiago,Male,15,10th,114,History,100,84.2,98.7
28,Zoe Austin,Male,14,9th,108,English,66.8,69.2,72.1
29,Emma Morris,Male,15,10th,101,Computer,73.1,76.4,80.2
30,Mary Banks,Female,17,12th,106,Math,69.9,74.8,85.8
31,Dorothy Simmons,Male,16,10th,107,English,56.7,51.6,55
32,Walter Long,Male,14,9th,119,Science,71.8,80.3,81.8
33,Dennis Hines,Male,15,9th,114,Computer,80.1,79.6,100
34,Emma Green,Male,14,9th,113,Science,68.2,74.2,92.6
